start	end	text
0	3360	好 今天我们来看时间复杂度的计算
3360	6520	时间复杂度这里它的定义绕来绕去的很复杂
6520	7080	不用看
7080	10280	然后我们简单说一下它时间复杂度到底是干什么的
10280	12000	这里有一段程序 对吧
12000	13080	这里也有一段程序
13080	14600	程序里边肯定有一句话
14600	15640	它不止执行了一次
15640	17600	执行了一次之后这个东西就没法算了
17600	18200	没有意义
18200	20240	这句话执行了很多次
20240	21560	它一共执行了多少次
21560	23120	假设一共执行了T次
23120	27280	或者是一共执行了X次
27280	29640	这一句话一共执行了X次
29800	33960	那么就找这一句话执行的次数和N之间的一个关系
33960	37040	就是执行最多的次数和N之间到底有什么关系
37040	38360	就是它的时间复杂度
38360	40080	那么我们就来通过这道题看一下
40080	41920	这句话到底执行了多少次
41920	44640	首先这个是有两个循环构成的
44640	46360	我们说外循环的时候
46360	49320	肯定是第一次执行的时候K等于1
49320	51480	执行完了之后K变成了2
51480	53240	这个大家应该都能看懂 对吧
53240	56160	第二次执行外循环的时候K等于2
56160	58440	执行完了之后K变成了2的平方
58480	59360	依次类推
59360	61160	假设我们有DX次的时候
61160	63840	K它应该就等于2的X次方
65840	66920	然后执行完了之后
66920	70880	就变成了K的2的X加1次方
70880	72400	这样的一个结果
72400	73240	我们看第一次
73240	74040	第一次K等于1
74040	74840	第二次K等于2
74840	76480	第三次K应该等于2的平方
76480	79600	DX次K等于2的X减1
79600	81640	执行完了之后等于2的X
81640	83440	这是一个D推推出来的
83440	84880	这个就不用我说了
84880	86400	这是对于外循环而已
86400	88000	那么我们再来看内循环
88560	90560	无论外边怎么样进行变化
90560	91840	进到这个内循环的时候
91840	94640	它每一次它都执行了N次 对不对
94640	96920	因为从1一直执行到N
96920	98360	每一个都执行了N次
98360	99560	那么我们这个程序
99560	100920	外循环执行了这么多次
100920	102200	内循环执行了这么多次
102200	104560	这是执行到某一个X次的时候
104560	106000	现在我们说这个程序
106000	107480	什么时候能执行完呢
107480	108680	它有一个跳出条件
108680	111680	就是K等于N的时候
111680	112840	是一个零件条件
114120	116080	DX次的时候K等于这么多
117080	119200	假设我们就这个时候跳出
119200	120960	或者我们下一步跳出也可以
120960	121760	当然没关系
121760	124080	这个早一步晚一步其实关系不大
124080	127360	那就直接可以假设2的X次方等于N
128960	130680	这个大家应该能理解吧
130680	132760	就是假设我一共执行了X次
132760	135120	那么这个2的X次方等于N
135120	137520	那这应该是X加1次
137960	140320	X加1次的时候2的X次方等于N
140320	142520	这个时候我们可以得到执行的次数
142520	145240	等于log以2为底N的对数
145640	148760	刚才我们说算时间复杂度的时候算的是什么
148760	151320	算的是执行次数和N之间的关系
151320	152280	那它等于这个吗
152280	153360	很明显不等于
153360	156000	因为这个只是说到它的外部
157480	159680	我们这个外部一共执行了这么多次
159680	162160	那么内部的循环每一次都执行了N
162160	164960	所以说是N乘以Nlog以2为底N的对数
164960	166280	这个就是它的时间复杂度
166280	167520	所以说选C
167520	168240	再来看下一题
168240	170640	下一题跟这个题稍微有点不一样
170640	172360	就是这里是N 这里是I
172360	174160	没关系我们依然这样算
174200	176280	外部的这个其实我们已经推过了
176280	179800	外部的第一次这个I等于1执行完了之后I等于2
180400	183440	I等于2执行完了之后I等于2的平方
183440	187040	然后这里I等于2的X减1执行完了之后
187040	188520	I等于2的X
188760	190800	这是第X次的时候
192240	194400	好 再来看它的内部
194800	195960	内部第一次的时候
195960	198680	可以发现它跟I是有关系的 对吧
198880	199880	它跟I有关系的
200880	202880	进去之后这个时候I等于1
202880	204200	因为这个写的I等于1
204400	206280	这是程序执行完之后I变成2
206280	208160	这里是介小于1
208160	210360	所以说这里内部执行了一次
210560	212040	然后第二轮的时候
212880	214160	这个时候I就变成了2
214160	216200	2这里不就执行了两次吗
216400	218720	一次类推三次 四次 五次 N次
219200	220720	到这个时候执行了多少次
220880	225400	执行了I等于2的X减1次方
225400	227560	执行了2的X减1次方次
228360	231800	加一块 外部一共执行了这么多次
231840	233600	内部它是各不相同的
233600	234840	所以说它不能相乘
234840	235720	它得相加
236080	238400	1加2一直加到2的X减1
238400	241520	它应该等于2的X四方减1 是吧
241520	242920	一共执行了这么多次
244080	244840	就是这个玩意儿
245120	247760	这个sum加加一共执行了2的X四方减1次
248640	251480	好 什么时候会跳出循环呢
251480	254600	这是意思说我们整个的程序
255400	257440	执行X次大循环的时候
257440	258640	里边会执行这么多次
258640	261080	那就假设X等于N的时候
261440	262560	正好会跳出循环
262560	264720	那就是2的X四方减1等于N
264720	266120	这个减1可以去掉
266440	267640	因为是一个常数级别
267640	271080	那么X就等于log一二为D N的对数
272360	273400	对吧 是这样算的
273400	275720	log一二为D N的对数
276320	280240	然后我们可以看到这里是2的X四方减1
280920	282840	整个的程序一共执行了多少次
282840	284600	刚才说到这里执行了这么多次
284600	285560	把X带进去
285560	288440	那就是2的log一二为D的N减1
288440	290600	它等于是N减1
291080	292800	N减1它的时间复杂度是多少
292800	294440	那就是N 对吧
294440	295400	所以说选B
296000	297880	我们只需要这样来进行推导
297880	300240	最终关心的核心问题是
300240	303080	里边的这一句话到底执行了多少次
303080	304880	好 这就是时间复杂度
304880	305560	大家拜拜
