start	end	text
0	3000	那些焦慮的人
4000	5000	应该停下来
6000	7000	问问自己
8000	10000	在崩流不息的浪潮中
11000	13000	究竟生出何地
14000	15000	有人行走电风
16000	17000	有人随波逐流
18000	20000	也有人终流积水
21000	22000	成为地主
23000	24000	地主不是平庸
25000	26000	是共识的自信
27000	28000	是时间的积实
28000	29000	是让我们
30000	31000	灯有力量
32000	33000	他们说
34000	35000	我们都是普通人
36000	37000	不是战士
37000	38000	也不是斗神
39000	40000	可是
40000	41000	当恒亚来临
43000	45000	没有人特有独善其身
46000	48000	不能独自担忧
48000	49000	不能独自恐惧
50000	51000	于是
51000	53000	我们和未知斗争
53000	55000	我们和自私斗争
55000	56000	我们和谣言
56000	58000	与歧视斗争
59000	60000	最重要的
61000	62000	是此刻
62000	63000	我们被靠地
63000	64000	在一起
65000	66000	这是一个普通人的
67000	68000	绝地反击
69000	70000	也是一个民族
70000	71000	从黑暗到光明的
72000	73000	未大变成
74000	75000	所谓地主
75000	76000	是内心的相信
77000	78000	相信时代
78000	79000	相信自己
80000	81000	相信
81000	82000	成就更好的
83000	84000	力量
86000	87000	他们说
87000	88000	何必是冒险
89000	90000	人生
90000	91000	还有很多险子
92000	93000	我见过
93000	94000	海拔8000米不壮力
95000	96000	我经历过
96000	97000	极力的延安风险
98000	99000	我也在
99000	100000	灯底成功后
100000	101000	痛苦流气
102000	103000	我更见过
103000	104000	生命的描写
104000	105000	人性的伟大
107000	108000	于是这样
108000	109000	我一任而生命
110000	111000	一阵息
111000	112000	平静的时光
113000	114000	世间所有的险头
114000	116000	都不是为了去征服
117000	119000	而是为了去享受征服
122000	123000	所谓地主
123000	124000	去内心的热爱
125000	126000	热爱生命
126000	127000	热爱时间
128000	129000	热爱内心
129000	130000	真致的力量
133000	134000	他们说
134000	135000	能到周年
135000	136000	不要一想推他
137000	139000	但于现状
139000	140000	能到不是对生命的屋服
141000	143000	对去年少时的复杂
144000	145000	今天的梦想
145000	147000	不是先衣怒完
148000	149000	而是内心的堵定
149000	150000	从容
151000	152000	向我震撼
152000	153000	与伟大
154000	155000	平凡的个体
155000	157000	才能凝聚出
157000	158000	无反
159000	160000	你生活
160000	161000	熟写日新类意
161000	163000	你时间雕刻内心迟度
163000	165000	一如所有更云者
165000	167000	的城市住入彭博力量
167000	169000	创造更多可能
170000	171000	所谓地主
171000	172000	是内心的坚定
173000	174000	坚定细面
174000	175000	坚定绝则
175000	177000	坚定持织以恒的力量
179000	180000	主要贯歇
180000	181000	属于终于
182000	184000	在奔留不惜的绑槽中
185000	186000	我们或许一辈子
186000	188000	都不曾登上了一幅
188000	190000	我们可能进了全力
190000	192000	也赶不上上朝
193000	194000	但是
194000	195000	每个人
195000	197000	都是司机的顶重
197000	199000	都是一例舞蹈中间
200000	201000	奔留呼吸
202000	203000	一如当然
